Treatment,PlantSp,Concentration,Day,TotalZp,MovingZp,TotalSporangia
PL.25,PurpleLoose,0.25,2,0,0,8
PL.25,PurpleLoose,0.25,1,29,1,12
PL.25,PurpleLoose,0.25,3,5,0,0
PL.25,PurpleLoose,0.25,4,6,0,3
PL.25,PurpleLoose,0.25,3,8,0,0
PL.25,PurpleLoose,0.25,1,3,0,10
PL.25,PurpleLoose,0.25,2,27,0,2
PL.25,PurpleLoose,0.25,2,0,0,1
PL.25,PurpleLoose,0.25,4,12,0,7
PL.25,PurpleLoose,0.25,2,7,0,13
PL.25,PurpleLoose,0.25,1,4,0,6
PL.25,PurpleLoose,0.25,3,12,1,0
PL.50,PurpleLoose,0.5,3,4,0,3
PL.50,PurpleLoose,0.5,4,12,0,2
PL.50,PurpleLoose,0.5,3,6,0,0
PL.50,PurpleLoose,0.5,1,9,0,8
PL.50,PurpleLoose,0.5,3,9,0,1
PL.50,PurpleLoose,0.5,2,11,0,0
PL.50,PurpleLoose,0.5,2,2,0,23
PL.50,PurpleLoose,0.5,2,4,0,4
PL.50,PurpleLoose,0.5,4,7,0,1
PL.50,PurpleLoose,0.5,2,25,0,0
PL.50,PurpleLoose,0.5,1,0,0,2
PL.50,PurpleLoose,0.5,1,10,0,10
PL.10,PurpleLoose,1,1,6,0,2
PL.10,PurpleLoose,1,2,24,0,0
PL.10,PurpleLoose,1,3,14,0,0
PL.10,PurpleLoose,1,2,8,0,8
PL.10,PurpleLoose,1,4,7,0,0
PL.10,PurpleLoose,1,4,6,0,2
PL.10,PurpleLoose,1,1,4,0,3
PL.10,PurpleLoose,1,3,7,0,3
PL.10,PurpleLoose,1,2,7,0,6
PL.10,PurpleLoose,1,1,9,0,7
PL.10,PurpleLoose,1,2,10,0,2
PL.10,PurpleLoose,1,3,8,0,0
PL.20,PurpleLoose,2,3,7,1,0
PL.20,PurpleLoose,2,2,29,0,2
PL.20,PurpleLoose,2,3,4,0,0
PL.20,PurpleLoose,2,3,2,0,0
PL.20,PurpleLoose,2,1,8,1,2
PL.20,PurpleLoose,2,4,4,1,1
PL.20,PurpleLoose,2,2,2,1,4
PL.20,PurpleLoose,2,2,17,3,0
PL.20,PurpleLoose,2,1,9,0,3
PL.20,PurpleLoose,2,2,27,0,0
PL.20,PurpleLoose,2,2,18,0,0
PL.20,PurpleLoose,2,4,5,0,0
SB.25,SteepBush,0.25,4,15,3,7
SB.25,SteepBush,0.25,1,6,2,12
SB.25,SteepBush,0.25,2,13,0,1
SB.25,SteepBush,0.25,2,11,4,26
SB.25,SteepBush,0.25,1,15,1,5
SB.25,SteepBush,0.25,2,0,0,11
SB.25,SteepBush,0.25,1,0,0,5
SB.25,SteepBush,0.25,2,2,0,17
SB.25,SteepBush,0.25,3,0,0,3
SB.25,SteepBush,0.25,3,16,4,19
SB.25,SteepBush,0.25,3,7,1,9
SB.25,SteepBush,0.25,4,4,0,4
SB.50,SteepBush,0.5,2,21,0,2
