TID,treatment,leachate,days_survived,censored,infect_status,Quantmean,log.quant.mean
1,4,HB,7,0,1,0.145,-0.838631998
2,7,control,7,0,0,0,0
3,6,CA,4,1,NA,NA,NA
4,2,SB,7,0,1,0.050282735,-1.298581105
5,5,CR,7,0,1,0.574030638,-0.241064927
6,1,PL,7,0,1,0.26859358,-0.570904373
7,3,AO,7,0,1,0.556070924,-0.254869813
8,1,PL,6,1,NA,NA,NA
9,5,CR,7,0,NA,NA,NA
10,7,control,7,0,1,0.000040,-4
11,2,SB,6,1,NA,NA,NA
12,6,CA,7,0,1,0.1194,-0.922995673
13,4,HB,7,0,1,0.643562794,-0.191409072
14,3,AO,7,0,1,0.162982211,-0.787859796
15,3,AO,7,0,1,0.204505175,-0.689295697
16,6,CA,7,0,1,0.32963118,-0.481971715
17,2,SB,4,1,NA,NA,NA
18,4,HB,6,1,NA,NA,NA
19,4,HB,7,0,1,0.868406743,-0.061276813
20,5,CR,7,0,1,0.535536528,-0.271210902
21,7,control,7,0,0,0,0
22,7,control,7,0,0,0,0
23,6,CA,7,0,1,0.157042339,-0.803983244
24,5,CR,6,1,NA,NA,NA
25,3,AO,7,0,NA,NA,NA
26,4,HB,7,0,1,0.855034202,-0.068016513
27,1,PL,6,1,NA,NA,NA
28,2,SB,4,1,NA,NA,NA
29,4,HB,7,0,1,0.136671498,-0.864322044
30,6,CA,7,0,NA,NA,NA
31,3,AO,7,0,1,0.041454962,-1.382423484
32,7,control,7,0,0,0,0
33,2,SB,1,1,NA,NA,NA
34,1,PL,7,0,1,0.118610464,-0.925876995
35,5,CR,7,0,NA,NA,NA
36,6,CA,7,0,NA,NA,NA
37,7,control,5,1,NA,NA,NA
38,1,PL,7,0,0,0,0
39,4,HB,7,0,1,0.084272228,-1.074315523
40,2,SB,7,0,1,0.058,-1.236572006
41,3,AO,7,0,1,0.051627694,-1.287117275
42,5,CR,7,0,NA,NA,NA
43,7,control,7,0,1,0.148,-0.829738285
44,3,AO,7,0,1,0.195624292,-0.708577217
45,2,SB,7,0,1,0.066,-1.180456064
46,3,AO,5,1,NA,NA,NA
47,6,CA,7,0,0,0,0
48,1,PL,6,1,NA,NA,NA
49,5,CR,7,0,NA,NA,NA
50,5,CR,7,0,NA,NA,NA
51,2,SB,7,0,1,0.242889553,-0.614591164
52,3,AO,7,0,0,0,0
53,3,AO,7,0,1,0.279126599,-0.554198775
54,6,CA,7,0,1,0.004887737,-2.310892193
55,1,PL,7,0,1,0.164797761,-0.783048694
56,7,control,7,0,0,0,0
57,5,CR,7,0,0,0,0
58,4,HB,7,0,1,0.012128492,-1.916193181
59,2,SB,7,0,1,0.00026,-3.585026652
60,3,AO,7,0,1,0.006312426,-2.19980372
61,7,control,6,1,NA,NA,NA
62,6,CA,7,0,1,0.406286188,-0.493634265
63,1,PL,7,0,1,0.08141413,-1.089300216
64,4,HB,7,0,1,0.057,-1.244125144
65,5,CR,7,0,1,0.232168995,-0.634195779
66,7,control,2,1,NA,NA,NA
67,2,SB,7,0,1,0.448405922,-0.348328661
68,3,AO,7,0,1,0.135219067,-0.868962064
69,6,CA,7,0,NA,NA,NA
70,1,PL,7,0,1,0.027624017,-1.558713173
71,5,CR,7,0,1,0.058983609,-1.229268657
72,1,PL,7,0,1,0.075036637,-1.124726636
73,7,control,3,1,NA,NA,NA
74,6,CA,7,0,1,0.316573411,-0.499525564
75,4,HB,7,0,1,0.170599036,-0.768023427
76,2,SB,7,0,1,0.085374188,-1.068673416
77,3,AO,2,1,NA,NA,NA
78,7,control,5,1,NA,NA,NA
79,3,AO,7,0,1,0.012157311,-1.915162466
80,2,SB,7,0,1,0.028310068,-1.548059088
81,5,CR,7,0,1,0.582362831,-0.234806352
82,1,PL,7,0,1,0.022601327,-1.645866063
83,4,HB,7,0,1,0.194597609,-0.710862499
84,6,CA,7,0,1,0.294796974,-0.53047698
85,6,CA,7,0,1,0.094673835,-1.023770032
86,2,SB,7,0,1,0.108695194,-0.963789658
87,4,HB,7,0,1,1.694082558,0.228934571
88,7,control,7,0,0,0,0
89,3,AO,7,0,1,0.555957526,-0.254958386
90,1,PL,7,0,1,0.00015,-3.823908741
91,3,AO,7,0,1,0.653600246,-0.184687793
92,2,SB,7,0,1,0.014,-1.853871964
93,7,control,7,0,0,0,0
94,1,PL,7,0,1,0.00089,-3.050609993
95,6,CA,7,0,NA,NA,NA
96,4,HB,5,1,NA,NA,NA
97,5,CR,3,1,NA,NA,NA
98,3,AO,7,0,1,0.271502115,-0.566226783
99,1,PL,4,1,NA,NA,NA
100,6,CA,7,0,NA,NA,NA
101,4,HB,7,0,1,0.368081719,-0.434055752
102,2,SB,5,1,NA,NA,NA
103,3,AO,7,0,1,0.159955509,-0.796000798
104,7,control,6,1,NA,NA,NA
105,5,CR,7,0,1,0.652822912,-0.185204612
106,6,CA,7,0,1,0.315125361,-0.501516644
107,5,CR,7,0,1,0.322830111,-0.491025965
108,1,PL,7,0,1,0.077282622,-1.111918149
109,3,AO,2,1,NA,NA,NA
110,4,HB,7,0,1,0.075158708,-1.124020695
111,7,control,7,0,0,0,0
112,2,SB,7,0,1,0.224341981,-0.649089449
113,3,AO,7,0,1,0.013489711,-1.869997355
114,7,control,7,0,0,0,0
115,1,PL,7,0,1,0.622567445,-0.205813593
116,6,CA,7,0,1,0.225459382,-0.646931688
117,2,SB,7,0,1,0.49855189,-0.302289633
118,4,HB,7,0,1,0.061208999,-1.213184724
119,5,CR,7,0,1,0.352504611,-0.452835198
120,2,SB,7,0,1,0.201139674,-0.696502259
121,1,PL,7,0,1,0.00067,-3.173925197
123,3,AO,7,0,1,0.012709593,-1.895868343
124,5,CR,7,0,1,0.201243721,-0.696277661
125,6,CA,7,0,1,0.025674674,-1.590495067
126,7,control,7,0,0,0,0
127,1,PL,7,0,1,0.052072179,-1.283394252
128,4,HB,6,1,NA,NA,NA
129,3,AO,7,0,0,0,0
130,6,CA,7,0,1,0.010895101,-1.962768753
131,7,control,7,0,1,0.00033515,-3.474760776
132,2,SB,7,0,1,0.157161117,-0.803654894
133,5,CR,7,0,1,0.863796294,-0.063588664
134,1,PL,7,0,1,0.142611593,-0.845845169
135,5,CR,7,0,1,0.683290541,-0.165394591
136,6,CA,7,0,1,0.056,-1.251811973
137,4,HB,7,0,0,0,0
138,2,SB,7,0,1,0.030800924,-1.533608409
139,7,control,5,1,NA,NA,NA
140,3,AO,7,0,1,0.025154611,-1.599382393
141,7,control,7,0,0,0,0
142,1,PL,7,0,0,0,0
143,4,HB,6,1,NA,NA,NA
144,6,CA,7,0,1,0.272687808,-0.56433428
145,5,CR,7,0,1,0.279521145,-0.553585334
146,2,SB,7,0,1,0.26316306,-0.579775073
147,3,AO,7,0,1,0.143787086,-0.842280118
148,2,SB,7,0,NA,NA,NA
149,6,CA,7,0,1,0.41179657,-0.385317275
150,5,CR,7,0,1,0.195471771,-0.708915952
151,7,control,7,0,0,0,0
152,1,PL,7,0,1,0.404990628,-0.392555026
153,4,HB,7,0,1,0.048,-1.318758763
154,3,AO,7,0,1,0.00012,-3.920818754
155,2,SB,7,0,1,0.131405018,-0.881388049
156,3,AO,7,0,1,0.636687785,-0.196073482
157,6,CA,7,0,1,0.121,-0.91721463
158,7,control,7,0,0,0,0
159,4,HB,7,0,1,0.249910399,-0.602215672
160,1,PL,7,0,1,0.050251797,-1.314899816
161,5,CR,7,0,1,0.178956203,-0.747253243
162,5,CR,7,0,1,0.660101891,-0.180389023
163,4,HB,7,0,1,0.689486712,-0.161474099
164,3,AO,7,0,1,0.005626207,-2.249784321
165,2,SB,7,0,1,0.053923303,-1.268223511
166,7,control,7,0,1,0.000000,-6.823908741
167,1,PL,7,0,1,0.169808008,-0.770041833
168,6,CA,NA,NA,1,0.386918709,-0.41238027
169,6,CA,6,1,NA,NA,NA
170,7,control,7,0,0,0,0
171,3,AO,7,0,1,0.004998787,-2.301135342
172,4,HB,NA,NA,1,0.205896609,-0.686350807
173,5,CR,5,1,NA,NA,NA
174,2,SB,7,0,1,0.05936678,-1.237387505
175,1,PL,NA,NA,1,0.013,-1.886056648
176,4,HB,1,1,NA,NA,NA
177,7,control,7,0,0,0,0
178,6,CA,7,0,1,0.781820267,-0.106893075
179,5,CR,7,0,1,0.680734575,-0.167022191
180,3,AO,NA,NA,1,0.00425382,-2.371220922
181,2,SB,2,1,NA,NA,NA
182,1,PL,NA,NA,1,0.03405412,-1.467830337
183,5,CR,5,1,NA,NA,NA
184,6,CA,7,0,1,2.59838748,0.414703915
185,7,control,7,0,0,0,0
186,2,SB,7,0,1,1.633441687,0.213103635
187,1,PL,7,0,0,0,0
188,3,AO,7,0,1,0.00088,-3.055517328
189,4,HB,7,0,1,0.183957912,-0.735281528
190,5,CR,7,0,0,0,0
191,1,PL,7,0,1,0.901962459,-0.044811538
192,4,HB,7,0,NA,NA,NA
193,3,AO,7,0,1,0.542938009,-0.265249754
194,1,PL,7,0,1,0.038042864,-1.419726797
195,6,CA,7,0,NA,NA,NA
196,7,control,7,0,0,0,0
197,4,HB,7,0,1,0.503352851,-0.298127468
198,7,control,7,0,0,0,0
199,1,PL,7,0,1,0.0047,-2.327902142
200,3,AO,7,0,1,0.017,-1.769551079
201,6,CA,5,1,NA,NA,NA
202,2,SB,7,0,1,0.590014309,-0.229137456
203,5,CR,7,0,1,0.603526801,-0.219303439
204,1,PL,3,1,NA,NA,NA
205,3,AO,7,0,1,0.05,-1.301029996
206,7,control,7,0,0,0,0
207,5,CR,7,0,1,0.00072,-3.142667504
208,2,SB,7,0,1,0.329725504,-0.481847459
209,5,CR,7,0,1,0.286749095,-0.542497945
210,4,HB,7,0,1,0.319298595,-0.495802992
211,4,HB,7,0,1,0.318731085,-0.49657558
212,5,CR,7,0,1,0.048,-1.318758763
213,6,CA,7,0,1,1.819892943,0.260045841
214,3,AO,7,0,1,0.466237769,-0.331392549
215,2,SB,7,0,1,0.746701002,-0.126853266
216,1,PL,2,1,NA,NA,NA
217,7,control,6,1,NA,NA,NA
218,1,PL,2,1,NA,NA,NA
219,7,control,7,0,0,0,0
220,5,CR,7,0,1,0.143075034,-0.844436142
221,4,HB,6,1,NA,NA,NA
222,2,SB,7,0,1,0.514175013,-0.288889033
223,3,AO,7,0,1,0.059,-1.229147988
224,6,CA,7,0,1,0.068781789,-1.16252653
