TID,treatment,leachate,days_survived,censored,infect_status,Quantmean,Log_Quantmean,stage,mass
1,7,control,9,1,0,0,0,NA,NA
2,1,PL,25,0,1,6.562084,0.817041785,25,0.07
3,6,CA,13,1,1,10.84371,1.035177894,25,0.051
4,5,CR,25,0,1,0.175965,-0.754573706,25,0.039
6,3,AO,25,0,1,4.007422,0.602865078,25,0.044
7,4,HB,25,0,1,6.267795,0.797114784,25,0.05
8,2,SB,25,0,1,11.34077,1.054642543,25,0.044
9,3,AO,25,0,1,12.52009,1.097607451,25,0.041
10,1,PL,18,1,0,0,0,NA,NA
11,2,SB,21,1,1,0.243688,-0.613165856,25,0.075
12,5,CR,25,0,1,4.102888,0.613089662,25,0.037
13,7,control,21,1,NA,NA,NA,NA,NA
14,4,HB,19,1,0,0,0,NA,NA
16,6,CA,24,1,NA,NA,NA,NA,NA
17,4,HB,21,1,1,3.240572,0.510621675,NA,NA
18,3,AO,9,1,0,0,0,NA,NA
19,6,CA,19,1,NA,NA,NA,NA,NA
20,5,CR,25,0,1,2.289803,0.35979812,25,0.061
21,1,PL,25,0,1,0.317848,-0.497780517,26,0.087
22,7,control,12,1,1,0.001953,-2.709297757,NA,NA
24,2,SB,15,1,0,0,0,NA,NA
25,2,SB,21,1,NA,NA,NA,NA,NA
26,5,CR,25,0,1,17.83311,1.251227088,25,0.046
27,4,HB,12,1,NA,NA,NA,NA,NA
28,1,PL,19,1,0,0,0,NA,NA
29,3,AO,25,0,1,0.415503,-0.381425836,25,0.062
31,6,CA,20,1,1,8.066992,0.906711626,NA,NA
32,7,control,19,1,0,0,0,NA,NA
33,4,HB,25,0,1,4.537621,0.656828219,25,0.018
34,3,AO,25,0,1,2.443146,0.387949421,25,0.112
35,7,control,25,0,1,2.930451,0.466934464,25,0.051
36,5,CR,7,1,1,0.001435,-2.843148099,NA,NA
37,1,PL,7,1,1,0.003833,-2.416461181,NA,NA
38,2,SB,18,1,NA,NA,NA,NA,NA
40,6,CA,25,0,1,0.308432,-0.51084057,26,0.04
42,6,CA,12,1,NA,NA,NA,NA,NA
44,3,AO,21,1,NA,NA,NA,NA,NA
45,2,SB,25,0,1,0.485044,-0.314218863,25,0.052
46,4,HB,25,0,1,0.618637,-0.208564109,25,0.038
47,7,control,25,0,1,0.571736,-0.242804461,25,0.049
48,1,PL,25,0,1,3.532724,0.548109709,25,0.054
49,7,control,25,0,1,4.917133,0.691711955,26,0.131
50,6,CA,21,1,1,73.00677,1.863363135,NA,NA
51,1,PL,25,0,1,10.93395,1.038777084,25,0.043
53,3,AO,18,1,0,0,0,NA,NA
54,5,CR,25,0,0,0,0,25,0.08
55,2,SB,21,1,1,13.98776,1.145748172,NA,NA
56,4,HB,25,0,1,8.935867,0.951136696,25,0.061
57,3,AO,23,1,NA,NA,NA,NA,NA
58,6,CA,19,1,NA,NA,NA,NA,NA
59,2,SB,25,0,1,7.086321,0.850420821,25,0.042
60,1,PL,21,1,1,8.041128,0.905316975,NA,NA
61,4,HB,12,1,0,0,0,NA,NA
62,5,CR,9,1,NA,NA,NA,NA,NA
63,7,control,10,1,NA,NA,NA,NA,NA
65,6,CA,25,0,1,10.226,1.009705788,26,0.11
66,2,SB,12,1,NA,NA,NA,NA,NA
67,4,HB,25,0,1,9.107918,0.959419112,25,0.032
68,7,control,25,0,1,10.07655,1.003311864,25,0.067
69,3,AO,25,0,1,6.854381,0.835968241,25,0.023
70,1,PL,13,1,0,0,0,NA,NA
71,5,CR,17,1,0,0,0,NA,NA
73,5,CR,25,0,1,3.727864,0.57146006,25,0.125
74,7,control,19,1,1,0.000868,-3.061480275,NA,NA
75,4,HB,13,1,NA,NA,NA,NA,NA
76,1,PL,25,0,1,2.086166,0.319348863,25,0.066
77,6,CA,25,0,1,7.726479,0.887981629,25,0.043
78,2,SB,25,0,1,0.198777,-0.701633868,25,0.076
80,3,AO,2,1,NA,NA,NA,NA,NA
82,1,PL,25,0,1,0.15341,-0.81414633,25,0.056
83,2,SB,25,0,1,0.820447,-0.085949469,25,0.065
84,5,CR,25,0,1,10.25127,1.010777672,25,0.062
86,6,CA,25,0,0,0,0,25,0.055
87,4,HB,13,1,NA,NA,NA,NA,NA
88,3,AO,9,1,0,0,0,NA,NA
89,6,CA,15,1,NA,NA,NA,NA,NA
91,2,SB,17,1,NA,NA,NA,NA,NA
92,3,AO,8,1,0,0,0,NA,NA
94,5,CR,12,1,0,0,0,NA,NA
95,4,HB,25,0,1,8.84176,0.946538722,25,0.063
96,7,control,12,1,NA,NA,NA,NA,NA
97,3,AO,7,1,NA,NA,NA,NA,NA
99,2,SB,21,1,1,8.280238,0.91804282,NA,NA
100,5,CR,25,0,1,0.164384,-0.784140456,25,0.03
101,6,CA,18,1,NA,NA,NA,NA,NA
102,7,control,16,1,1,0.001953,-2.709297757,NA,NA
103,1,PL,25,0,1,0.309229,-0.509719784,25,0.058
104,4,HB,15,1,0,0,0,NA,NA
105,5,CR,25,0,1,7.171945,0.85563695,25,0.033
106,4,HB,18,1,NA,NA,NA,NA,NA
107,7,control,8,1,NA,NA,NA,NA,NA
108,3,AO,3,1,0,0,0,NA,NA
111,1,PL,25,0,1,7.767122,0.890260127,25,0.097
112,2,SB,5,1,0,0,0,NA,NA
113,7,control,25,0,1,2.645071,0.422437334,25,0.079
115,5,CR,25,0,1,6.000749,0.778205461,25,0.063
116,6,CA,21,1,1,51.94709,1.715561224,NA,NA
117,1,PL,25,0,1,7.036329,0.847346138,24,0.02
118,2,SB,7,1,1,0.020151,-1.695703397,NA,NA
119,3,AO,25,0,0,0,0,26,0.098
120,4,HB,25,0,1,1.483341,0.171241001,25,0.035
121,1,PL,25,0,1,0.170763,-0.767606224,25,0.058
122,2,SB,25,0,1,6.775642,0.830950451,25,0.024
123,3,AO,8,1,NA,NA,NA,NA,NA
124,7,control,25,0,1,4.844507,0.685249588,25,0.097
126,6,CA,7,1,1,0.659609,-0.180713427,NA,NA
127,5,CR,25,0,1,0.748212,-0.125975331,25,0.041
128,4,HB,11,1,1,0.000473,-3.325138859,NA,NA
129,2,SB,25,0,1,4.105344,0.613349554,25,0.046
130,7,control,3,1,1,0.002357,-2.627640417,NA,NA
131,5,CR,1,1,1,0.080342,-1.095057361,NA,NA
132,1,PL,25,0,1,0.336142,-0.47347722,25,0.04
133,4,HB,13,1,NA,NA,NA,NA,NA
135,3,AO,25,0,1,6.980265,0.843871911,25,0.056
136,6,CA,16,1,0,0,0,NA,NA
137,7,control,25,0,1,10.07283,1.003151504,25,0.093
138,3,AO,25,0,1,0.321351,-0.493020344,25,0.102
140,4,HB,2,1,NA,NA,NA,NA,NA
142,1,PL,25,0,1,0.103326,-0.985790383,25,0.052
143,5,CR,25,0,1,8.464852,0.927619369,25,0.04
144,2,SB,3,1,NA,NA,NA,NA,NA
145,1,PL,25,0,1,0.274955,-0.560738378,25,0.016
146,2,SB,25,0,1,5.047006,0.703033821,25,0.058
147,6,CA,23,1,NA,NA,NA,NA,NA
148,3,AO,1,1,NA,NA,NA,NA,NA
149,7,control,25,0,1,0.524469,-0.280280177,25,0.044
151,5,CR,25,0,1,8.702968,0.939667387,25,0.042
152,4,HB,19,1,NA,NA,NA,NA,NA
153,2,SB,25,0,1,5.246006,0.719828783,25,0.054
155,7,control,25,0,1,6.543579,0.81581535,25,0.074
156,6,CA,16,1,NA,NA,NA,NA,NA
157,4,HB,25,0,1,3.702135,0.568452251,25,0.043
158,1,PL,25,0,1,0.3,-0.522878745,25,0.032
159,3,AO,13,1,NA,NA,NA,NA,NA
160,5,CR,3,1,0,0,0,NA,NA
,,,,,,,,,
,,,,,,,,,
,,,,,,,,25.05970149,0.057402985
,,,,,,,,0.295450197,0.025210664
